型号,系列,网址,图片,价格,状态,CPU跑分,CPU型号,CPU系列,CPU主频,最高睿频,核心/线程数,三级缓存,总线规格,核心架构,制程工艺,功耗,内存容量,内存类型,插槽数量,硬盘容量,硬盘描述,显卡跑分,显卡类型,显卡芯片,显存容量,显存类型,显存位宽,外壳材质,可选配件,网络通信,电池类型,基本参数,厚度,屏幕技术,无线网卡,扬声器,屏幕分辨率,上市时间,宽度,工作温度,其它特点,产品类型,数据接口,长度,笔记本重量,安全性能,客服电话,电话备注,人脸识别,电源适配器,质保备注,音频系统,光驱类型,笔记本附件,存储温度,有线网卡,主板芯片组,显卡,产品定位,操作系统,电源描述,质保时间,外壳描述,处理器,输入设备,指取设备,保修政策,包装清单,外观,附带软件,保修信息,读卡器,显示比例,音频接口,工作湿度,蓝牙,指纹识别,环境要求,麦克风,变形方式,其他,扩展插槽,摄像头,存储设备,详细内容,屏幕尺寸,商用技术,最大内存容量,续航时间,视频接口,特色功能,显示屏,多媒体设备,触控屏,I/O接口,键盘描述,其它接口
惠普ENVY 6-1001tx,ENVY 6系列,http://detail.zol.com.cn/ultrabook/index321763.shtml,https://2f.zol-img.com.cn/product/93_80x60/587/ceWsIeEueg6Hw.jpg,停产,[北京],2333,Intel 酷睿i5 2467M,英特尔 酷睿i5 2代系列,1.6GHz,2.3GHz,双核心/四线程,3MB,DMI 5 GT/s,Sandy Bridge,32nm,17W,8GB,DDR3 1600MHz,2xSO-DIMM,32GB+500GB,混合硬盘（SSD+5400转HDD）,812,性能级独立显卡,AMD Radeon HD 7670M,2GB,GDDR3,128bit,镁铝合金,NULL,NULL,4芯锂电池，5200毫安,NULL,19.8mm,NULL,支持802.11b/g/n无线协议,内置扬声器,1366x768,2013年,252.8mm,NULL,NULL,家用,1×USB2.0+2×USB3.0,374mm,1.94Kg,安全锁孔，开机密码,800-810-3888,周一至周五：8:30-18:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源超便携适配器,1年部件和人工保修,内置音效芯片,无内置光驱,NULL,NULL,1000Mbps以太网卡,Intel HM77,NULL,影音娱乐本，轻薄便携本，Ultrabook笔记本,预装Windows 7 Home Basic 64bit（64位家庭普通版）,NULL,1年,黑红混搭,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,多合1读卡器（SD，SDHC，SDXC，MMC）,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,15.6英寸,NULL,8GB,视具体使用环境而定,HDMI,NULL,NULL,NULL,NULL,NULL,全尺寸分岛式键盘,RJ45（网络接口），电源接口
惠普ENVY 13-D023TU（P6M45PA）,ENVY 13-D000系列,http://detail.zol.com.cn/ultrabook/index1101412.shtml,https://2d.zol-img.com.cn/product/171_80x60/555/ceWD3lC16brmA.jpg,4499,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,128GB,SSD固态硬盘,835,核心显卡,Intel GMA HD 520,共享内存容量,无,NULL,镁铝合金,NULL,NULL,3芯锂电池,NULL,12.9mm,FHD，防眩光屏,支持802.11b/g/n无线协议,立体声扬声器,1920x1080,2015年09月,226mm,NULL,NULL,家用,3×USB3.0,326.5mm,1.27Kg,NULL,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,整机1年，主要部件2年,内置立体声音效芯片,无内置光驱,NULL,NULL,NULL,NULL,NULL,游戏本，影音娱乐本，极致轻薄本，Ultrabook笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,NULL,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,13.3英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,分岛式键盘,电源接口
惠普ENVY 13-D046TU（P7F60PA）,ENVY 13-D000系列,http://detail.zol.com.cn/ultrabook/index1101416.shtml,https://2f.zol-img.com.cn/product/166_80x60/737/cebHxLpGEbClo.jpg,6199,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）1600MHz,NULL,256GB,SSD固态硬盘,835,核芯显卡,Intel GMA HD 520,共享内存容量,无,NULL,镁铝合金,NULL,NULL,3芯锂电池,NULL,12.9mm,QHD+高亮背光显示屏,支持802.11b/g/n无线协议,立体声扬声器,3200x1800,2015年09月,226mm,NULL,NULL,家用,3×USB3.0,326.5mm,1.27Kg,NULL,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,整机1年，主要部件2年,内置立体声音效芯片,无内置光驱,NULL,NULL,NULL,NULL,NULL,游戏本，影音娱乐本，极致轻薄本，Ultrabook笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,NULL,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,13.3英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,分岛式键盘,电源接口
惠普ENVY 13-D025TU（P6M47PA）,ENVY 13-D000系列,http://detail.zol.com.cn/ultrabook/index1102343.shtml,https://2c.zol-img.com.cn/product/171_80x60/566/cezyOLQEeKmgg.jpg,5699,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）1600MHz,NULL,256GB,SSD固态硬盘,835,核芯显卡,Intel GMA HD 520,共享内存容量,无,NULL,镁铝合金,NULL,NULL,3芯锂电池,NULL,12.9mm,QHD+高亮背光显示屏,支持802.11b/g/n无线协议,立体声扬声器,3200x1800,2015年10月,226mm,NULL,NULL,家用,3×USB3.0,326.5mm,1.27Kg,NULL,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,整机1年，主要部件2年,内置立体声音效芯片,无内置光驱,NULL,NULL,NULL,NULL,NULL,游戏本，影音娱乐本，极致轻薄本，Ultrabook笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,NULL,NULL,McAfee LiveSafe,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,13.3英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,分岛式键盘,电源接口
惠普ENVY 13-D024TU（P6M46PA）,ENVY 13-D000系列,http://detail.zol.com.cn/ultrabook/index1101413.shtml,https://2d.zol-img.com.cn/product/171_80x60/573/ce0sUbKBvQHw.jpg,5299,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,4GB（4GB×1）,DDR3L（低电压版）1600MHz,NULL,256GB,SSD固态硬盘,835,核芯显卡,Intel GMA HD 520,共享内存容量,无,NULL,镁铝合金,NULL,NULL,3芯锂电池,NULL,12.9mm,QHD+高亮背光屏,支持802.11b/g/n无线协议,立体声扬声器,3200x1800,2015年09月,226mm,NULL,NULL,家用,3×USB3.0,326.5mm,1.27Kg,NULL,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,整机1年，主要部件2年,内置立体声音效芯片,无内置光驱,NULL,NULL,NULL,NULL,NULL,游戏本，影音娱乐本，极致轻薄本，Ultrabook笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,NULL,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,13.3英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,分岛式键盘,电源接口
惠普ENVY 13-D051TU,ENVY 13-D000系列,http://detail.zol.com.cn/ultrabook/index1137420.shtml,https://2e.zol-img.com.cn/product/169_80x60/390/ceYYyNcVIWVyo.jpg,6399,正常,4432,Intel 酷睿i7 6500U,英特尔 酷睿i7 6代系列,2.5GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）1600MHz,NULL,256GB,SSD固态硬盘,835,核芯显卡,Intel GMA HD 520,共享内存容量,无,NULL,镁铝合金,NULL,NULL,3芯锂电池,NULL,12.9mm,WLED背光，FHD，IPS防炫目屏,支持802.11b/g/n无线协议,双立体声扬声器,1920x1080,2015年12月,226mm,NULL,NULL,家用,3×USB3.0,326.5mm,1.27Kg,NULL,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频,无内置光驱,NULL,NULL,NULL,NULL,NULL,游戏本，影音娱乐本，极致轻薄本，Ultrabook笔记本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,一体化多点触控触摸板,全国联保，享受三包服务,NULL,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,13.3英寸,NULL,NULL,2-5小时，视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,背光键盘，孤岛式键盘,电源接口
惠普ENVY 13-D056TU,ENVY 13-D000系列,http://detail.zol.com.cn/ultrabook/index1141773.shtml,https://2d.zol-img.com.cn/product/171_80x60/295/cehwn2klTo6EU.jpg,4899,正常,4009,Intel 酷睿i5 6200U,英特尔 酷睿i5 6代系列,2.3GHz,2.8GHz,双核心/四线程,3MB,NULL,Skylake,14nm,15W,8GB（8GB×1）,DDR3L（低电压版）1600MHz,NULL,128GB,SSD固态硬盘,835,核心显卡,Intel GMA HD 520,共享内存容量,无,NULL,镁铝合金,NULL,NULL,3芯锂电池,NULL,12.9mm,WLED背光，FHD，IPS防炫目屏,支持802.11b/g/n无线协议,立体声扬声器,1920x1080,2016年04月,226mm,NULL,NULL,家用,3×USB3.0,326.5mm,1.27Kg,NULL,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 65W 自适应交流电源适配器,整机1年，主要部件2年,内置立体声音效芯片,无内置光驱,NULL,NULL,NULL,NULL,NULL,游戏本，影音娱乐本，极致轻薄本，Ultrabook笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,触摸板,全国联保，享受三包服务,NULL,NULL,附带软件,NULL,多合1读卡器,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.0模块,NULL,NULL,内置麦克风,NULL,NULL,NULL,集成摄像头,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,13.3英寸,NULL,NULL,视具体使用环境而定,HDMI,NULL,NULL,NULL,不支持触控,NULL,分岛式键盘,电源接口
惠普ELITE X2 1012 G1（V2D62PA）,ELITE X2 1012 G1系列,http://detail.zol.com.cn/notebook/index1116033.shtml,https://2b.zol-img.com.cn/product/172_80x60/803/ce1T3pj4Uw3hs.jpg,5888,正常,3051,Intel 酷睿M3 6Y30,英特尔 酷睿 M系列,900MHz,2.2GHz,双核心/四线程,4MB,NULL,Skylake,14nm,4.5W,4GB（4GB×1）,LPDDR3（低功耗版）1866MHz,NULL,128GB,SSD固态硬盘,639,核芯显卡,Intel GMA HD 515,共享内存容量,无,NULL,复合材质,Wacom手写笔,NULL,4芯锂电池,NULL,8-13.45mm,LED背光，FHD UWVA eDP超薄触摸屏，采用康宁第四代大猩猩玻璃,Intel 8260 AC，支持802.11a/b/g/n/ac无线协议,双立体声扬声器,1920x1080,2016年01月,214mm,NULL,平板部分集成支架，提供150°角度调节,商用,1×USB3.0，USB3.1 Type-C接口（支持Thunderbolt）,300mm,1.23Kg,TPM 2.0，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 45W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频,无内置光驱,NULL,NULL,NULL,NULL,NULL,商务办公本，时尚轻薄本，二合一笔记本，迷你笔记本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,智能型手势操控触摸板（带有开/关按键），HP主动式触控笔,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1旅行键盘 x1手写笔 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,NULL,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列式麦克风,插拔,NULL,Micro SD卡插槽,双1080P摄像头（前置：200万像素，后置：500万像素）,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,12英寸,NULL,NULL,视具体使用环境而定,NULL,内置传感器：环境光传感器，加速计，磁力计，回转仪，邻近感应，双加速计（键盘）,NULL,NULL,支持多点触控,NULL,HP旅行键盘,NULL
惠普ELITE X2 1012 G1（V3F62PA）,ELITE X2 1012 G1系列,http://detail.zol.com.cn/notebook/index1141716.shtml,https://2d.zol-img.com.cn/product/172_80x60/817/ceCDmtUC6986Q.jpg,6999,正常,3364,Intel 酷睿M5 6Y54,英特尔 酷睿 M系列,1.1GHz,2.7GHz,双核心/四线程,4MB,NULL,Skylake,14nm,4.5W,8GB（8GB×1）,LPDDR3（低功耗版）1866MHz,NULL,256GB,SSD固态硬盘,639,核芯显卡,Intel GMA HD 515,共享内存容量,无,NULL,复合材质,Wacom手写笔,NULL,4芯锂电池,NULL,8-13.45mm,LED背光，FHD UWVA eDP超薄触摸屏，采用康宁第四代大猩猩玻璃,Intel 8260 AC，支持802.11a/b/g/n/ac无线协议,双立体声扬声器,1920x1080,2016年04月,214mm,NULL,平板部分集成支架，提供150°角度调节,商用,1×USB3.0，USB3.1 Type-C接口（支持Thunderbolt）,300mm,1.23Kg,TPM 2.0，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 45W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频,无内置光驱,NULL,NULL,NULL,NULL,NULL,商务办公本，时尚轻薄本，二合一笔记本，迷你笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,智能型手势操控触摸板（带有开/关按键），HP主动式触控笔,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1旅行键盘 x1手写笔 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,NULL,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列式麦克风,插拔,NULL,Micro SD卡插槽,双1080P摄像头（前置：200万像素，后置：500万像素）,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,12英寸,NULL,NULL,视具体使用环境而定,NULL,内置传感器：环境光传感器，加速计，磁力计，回转仪，邻近感应，双加速计（键盘）,NULL,NULL,支持多点触控,NULL,HP旅行键盘,NULL
惠普ELITE X2 1012 G1（V2D65PA）,ELITE X2 1012 G1系列,http://detail.zol.com.cn/notebook/index1141719.shtml,https://2d.zol-img.com.cn/product/172_80x60/347/cezbaBzNo1hV6.jpg,1.2万,正常,3520,Intel 酷睿M7 6Y75,英特尔 酷睿 M系列,1.2GHz,3.1GHz,双核心/四线程,4MB,NULL,Skylake,14nm,4.5W,8GB（8GB×1）,LPDDR3（低功耗版）1866MHz,NULL,512GB,SSD固态硬盘,639,核芯显卡,Intel GMA HD 515,共享内存容量,无,NULL,复合材质,Wacom手写笔,NULL,4芯锂电池,NULL,8-13.45mm,LED背光，FHD UWVA eDP超薄触摸屏，采用康宁第四代大猩猩玻璃,Intel 8260 AC，支持802.11a/b/g/n/ac无线协议,双立体声扬声器,1920x1280,2016年04月,214mm,NULL,平板部分集成支架，提供150°角度调节,商用,1×USB3.0，USB3.1 Type-C接口（支持Thunderbolt）,300mm,1.23Kg,TPM 2.0，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 45W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频,无内置光驱,NULL,NULL,NULL,NULL,NULL,商务办公本，时尚轻薄本，二合一笔记本，迷你笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,智能型手势操控触摸板（带有开/关按键），HP主动式触控笔,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1旅行键盘 x1手写笔 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,NULL,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列式麦克风,插拔,NULL,Micro SD卡插槽,双1080P摄像头（前置：200万像素，后置：500万像素）,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,12英寸,NULL,NULL,视具体使用环境而定,NULL,内置传感器：环境光传感器，加速计，磁力计，回转仪，邻近感应，双加速计（键盘）,NULL,NULL,支持多点触控,NULL,HP旅行键盘,NULL
惠普ELITE X2 1012 G1（V2D63PA）,ELITE X2 1012 G1系列,http://detail.zol.com.cn/notebook/index1136333.shtml,https://2a.zol-img.com.cn/product/172_80x60/820/ceSWAuvscktE.jpg,6999,正常,3364,Intel 酷睿M5 6Y54,英特尔 酷睿 M系列,1.1GHz,2.7GHz,双核心/四线程,4MB,NULL,Skylake,14nm,4.5W,4GB（4GB×1）,LPDDR3（低功耗版）1866MHz,NULL,180GB,SSD固态硬盘,639,核芯显卡,Intel GMA HD 515,共享内存容量,无,NULL,复合材质,Wacom手写笔,NULL,4芯锂电池,NULL,8-13.45mm,LED背光，FHD UWVA eDP超薄触摸屏，采用康宁第四代大猩猩玻璃,Intel 8260 AC，支持802.11a/b/g/n/ac无线协议,双立体声扬声器,1920x1080,2016年01月,214mm,NULL,平板部分集成支架，提供150°角度调节,商用,1×USB3.0，USB3.1 Type-C接口（支持Thunderbolt）,300mm,1.23Kg,TPM 2.0，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 45W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频,无内置光驱,NULL,NULL,NULL,NULL,NULL,商务办公本，时尚轻薄本，二合一笔记本，迷你笔记本，IPS硬屏笔记本,预装Windows 10 Home Basic 64bit（64位家庭普通版）,NULL,1年,银色,NULL,NULL,智能型手势操控触摸板（带有开/关按键），HP主动式触控笔,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1旅行键盘 x1手写笔 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,NULL,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列式麦克风,插拔,NULL,Micro SD卡插槽,双1080P摄像头（前置：200万像素，后置：500万像素）,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,12英寸,NULL,NULL,视具体使用环境而定,NULL,内置传感器：环境光传感器，加速计，磁力计，回转仪，邻近感应，双加速计（键盘）,NULL,NULL,支持多点触控,NULL,HP旅行键盘,NULL
惠普ELITE X2 1012 G1（V2D16PA）,ELITE X2 1012 G1系列,http://detail.zol.com.cn/notebook/index1136335.shtml,https://2b.zol-img.com.cn/product/172_80x60/851/ceX6TQRpEJgtU.jpg,8799,正常,3364,Intel 酷睿M5 6Y54,英特尔 酷睿 M系列,1.1GHz,2.7GHz,双核心/四线程,4MB,NULL,Skylake,14nm,4.5W,8GB（8GB×1）,LPDDR3（低功耗版）1866MHz,NULL,256GB,SSD固态硬盘,639,核芯显卡,Intel GMA HD 515,共享内存容量,无,NULL,复合材质,Wacom手写笔,NULL,4芯锂电池,NULL,8-13.45mm,LED背光，FHD UWVA eDP超薄触摸屏，采用康宁第四代大猩猩玻璃,Intel 8260 AC，支持802.11a/b/g/n/ac无线协议,双立体声扬声器,1920x1080,2016年01月,214mm,NULL,平板部分集成支架，提供150°角度调节,商用,1×USB3.0，USB3.1 Type-C接口（支持Thunderbolt）,300mm,1.23Kg,TPM 2.0，开机密码,800-810-3888；400-610-3888,周一至周五：8:30-21:00（节假日休息）,NULL,100V-240V 45W 自适应交流电源适配器,整机1年，主要部件2年,B&O音频,无内置光驱,NULL,NULL,NULL,NULL,NULL,商务办公本，时尚轻薄本，二合一笔记本，迷你笔记本，IPS硬屏笔记本,预装Windows 10 Professional 64bit（64位专业版）,NULL,1年,银色,NULL,NULL,智能型手势操控触摸板（带有开/关按键），HP主动式触控笔,全国联保，享受三包服务,笔记本主机 x1电源适配器 x1旅行键盘 x1手写笔 x1电源线 x1说明书 x1保修卡 x1,NULL,附带软件,NULL,NULL,16:9,耳机/麦克风二合一接口,NULL,支持，蓝牙4.2模块,NULL,NULL,双阵列式麦克风,插拔,NULL,Micro SD卡插槽,双1080P摄像头（前置：200万像素，后置：500万像素）,NULL,售后服务由品牌厂商提供，支持全国联保，可享有三包服务。如出现产品质量问题或故障，您可查询最近的维修点，由厂商售后解决。也可凭厂商维修中心或特约维修点所提供的质量检测证明，享受7日内退货，15日内换货。超过15日又在质保期内，可享受免费保修等三包服务政策。惠普笔记本不同型号产品保修年限不同，以保修卡为准，可拨打客服电话具体查询。进入官网>>,12英寸,NULL,NULL,视具体使用环境而定,NULL,内置传感器：环境光传感器，加速计，磁力计，回转仪，邻近感应，双加速计（键盘）,NULL,NULL,支持多点触控,NULL,HP旅行键盘,NULL
